product_code,ten_san_pham_tren_san,ten_trong_file_gia_von,gia_nhap,ghi_chu,luy_ke_pct
BPM9,"Bảng Phấn Mắt Dikalu Coco Venus 9 Màu, Bộ Phấn Mắt Nhũ Lấp Lánh, Hiệu ",Phấn mắt 9 ô,25000,,92.3
TXFS,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,92.6
SSTD,Set 2 cây son kem và son thỏi Toot Dodo chính hãng nội địa trung siêu ,Son Toot Dodo,37000,,92.8
MNMB01,"Hộp 20 miếng mặt nạ dưỡng môi Bioaqua chiết xuất từ quả Cherry, giúp m",Mặt nạ môi bioaqua,28000,,93.1
SBBLV,"Son kem lì Son kem lì Bbia Last Velvet Lip Tint dưỡng môi, không trôi,",Son Bbia - 02/03/04,125000,3 Phân loại của 1 SKU thôi nhưng đồng giá nhập,93.3
tangmocdan,"Son môi thỏi lì 3 màu AGAG chính hãng nội địa trung, son dưỡng mềm mịn",Son AG thỏi 3 màu,30000,,93.5
CTFS3,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,93.8
TX02,"Mặt nạ đất sét dạng thỏi lăn Trà xanh và Cà tím giúp làm sạch, trắng d",Mặt nạ dạng lăn,30000,,94.0
SRHX03,"Serum se khít lỗ chân lông Heyxi dưỡng ẩm, cấp ẩm cho da, tinh chất se",Serum se khít lỗ chân lông Heyxi ,26000,,94.1
SMZBTBM,"Son Kem Merzy Bite The Beat Mellow Tint City Version dưỡng môi, không ",Son Merzy - M1/M2/M3/M5/M6,102000,5 Phân loại của 1 SKU thôi nhưng đồng giá nhập,94.3
CT,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,94.5
BCHK01,"Bộ cọ trang điểm Hello Kitty 7 cây trong hộp xinh xắn, lông cọ mềm với",Hộp cọ hello kitty ,16000,,94.7
XHUF01,Xịt thơm miệng Upfood Trung thơm mát ngọt ngào - Lumytive,Xịt thơm miệng hàng nội địa trung Upfood,15000,,94.8
KN01,"Kem Ngựa bôi tay chân nứt nẻ, mềm mại cho da, hàng chính hãng giá rẻ -",Kem Ngựa bôi tay chân nứt nẻ,21000,,95.0
SDTH01,"Son dưỡng thạch hồng Peinifen dưỡng môi, chống khô môi mùa Đông cực ho",Son dưỡng thạch hồng ,22000,,95.1
KNE01,Phấn nước BB che khuyết điểm sunisa-kem nền trang điểm hàng nội địa tr,Phấn nền Sunisa nội địa trung,41000,,95.3
DMB02,"Serum dưỡng mi dài và dày Bioaqua, dưỡng mi và lông mày chăm sóc mắt c",Serum dưỡng mi dài và dày Bioaqua,18000,,95.4
KM01,"Gel Nhấn Mí Mắt, kích mí Liphop Makeup, Tặng Bút Tạo Mí Mắt Trong Suốt",Kich mí liphop,16000,,95.6
CKML01,"Chì kẻ mày, kẻ chân mày, bút kẻ lông mày, Chì Kẻ Mày Lameila 02 Đầu Do",Kẻ mày lameila,6800,,95.7
TTM300,"Nước tẩy trang Maycreate 300ml chính hãng nội địa trung nhỏ gọn, giúp ",Tẩy trang maycreate 300ml,28500,,95.8
PROLIGHT01,Set son chuốt mi đẹp giá rẻ hot nhất Pro Light son lì dưỡng môi lâu tr,Set son chuốt mi make up Pro light,33000,,96.0
SHRD01,Son dưỡng môi thạch có màu Herorange dưỡng ẩm chăm sóc môi không nứt n,Son dưỡng môi thạch có màu Herorange,25000,,96.1
SHRL01,"Set 3 son môi dáng lùn kem lì 3 màu Herorange có nhũ căng bóng, dưỡng ",Set 3 son bé Herorange dưỡng mới,33000,,96.2
KSM01,"Gel khoá màu son môi siêu lì giúp son không bay màu, không lem, bền mà",Khóa son môi Lip make up,17000,,96.3
XMUF01,Xịt thơm miệng Upfood Trung thơm mát ngọt ngào - Chetanic,Xịt thơm miệng hàng nội địa trung Upfood,15000,,96.5
HRMN01,Set 3 cây son kem lì Herorange mini The feeling of heart nội địa trung,Set son 3 cây herorange mới,30000,,96.6
MNI01,"Mặt nạ miếng Images dưỡng da, sáng da tái tạo phục hồi da mặt nạ chống",Mặt nạ miếng Images,2500,,96.7
TXSL,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,96.8
NHMC01,Một Chai Nước Hoa MC MAQUICITE Minority Original Perfume 30ML - Chetan,Nước hoa MC MAQUICITE nội địa trung,25000,,96.9
Fresh,"Xịt thơm toàn thân Pink Body Mist 250 ml chính hãng, mùi unisex, nước ",Nước hoa Body Mist Pink,43000,,97.0
XCNMC01,Xịt Chống Nắng Trắng Da Maycreate 150ml Spf35 - Chetanic,Xịt chống nắng ,23500,,97.1
KTTP,"Kem Massage trị thâm PIBAMY chính hãng nội địa trung, giúp thải độc, g",Trị thâm,33000,,97.2
HRMN02,Set 3 cây son kem lì Herorange mini The feeling of heart nội địa trung,Set son 3 cây herorange mới,30000,,97.3
KVTME,"Kem Dưỡng Da Dưỡng Ẩm Vitamin E Thái Lan 200g, Mùi Hương Dịu Nhẹ, Cung",Vitamin E,17000,,97.4
NHKSM01,Nước hoa khô dạng sáp hương trái cây ngọt ngào tươi mát sáp thơm sáp k,Nước hoa khô,9000,,97.4
CTFS2,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,97.5
PPM01,"Phấn Phủ Che Khuyết Điểm Maycreate Hàng Nội Địa Trung mịn nhẹ, tự nhiê",Phấn phủ maycreate,34200,,97.6
HRMN,Set 3 cây son kem lì Herorange mini The feeling of heart nội địa trung,Set son 3 cây herorange mới,30000,,97.7
KDDTM,"Kem dưỡng da tay Maycreate Perfumed Hand Essence, chất lượng đảm bảo a",Kem tay,3400,,97.8
CMAN01,"Mascara chuốt mi ánh nhũ kim tuyến Omga lung linh, dài, dày, cong, đẹp",Mascara chuốt mi ánh nhũ kim tuyến Omga ,16000,,97.8
SR24,"Serum vàng 24K GOLDZAN 100ml Giúp da sáng dần, căng bóng, khoẻ mạnh, l",Serum 24k ,28000,,97.9
CRM01,Cọ rửa mặt massage 2 đầu cầm tay silicon - Chetanic,Cọ Rửa Mặt 2 Đầu Mát Xa Cực Êm,16500,,98.0
MNAS,Mặt Nạ Salicylic Acid Ice Cream Mặt Nạ Giảm Mụn Trứng Cá Mụn Đầu Đen G,Mặt Nạ Salicylic Acid Ice Cream,29000,,98.0
1167604416-1612,"Hộp 10 Miếng Mặt Nạ Lụa Vàng 24K Goldzan, Cấp Ẩm, Chống Lão Hóa & Làm ",Mặt nạ 10 miếng 24k ,33000,,98.1
CKML02,Bút Chì Kẻ Mắt Nước Không Thấm Nước Lameila Dụng Cụ Mỹ Phẩm Trang Điểm,Bút kẻ mắt nước lameila,8000,,98.2
MSML01,"Mascara Siêu Mảnh Tơi Mi Lameila Skinny Microcara Vỏ Hồng siêu hot, ho",Chuốt mi lameila,9000,,98.2
MNM01,Mặt nạ giấy nén Miniso Nhật Bản kết hợp với nguyên liệu đắp mặt tự làm,Mặt nạ nén miniso,660,,98.3
MNNMM01,"Một Hộp Mặt Nạ Ngủ Môi Cherry của Maycreate dưỡng môi hết thâm, mềm mô",Mặt nạ ngủ môi cherry,25500,,98.3
CT03,"Mặt nạ đất sét dạng thỏi lăn Trà xanh và Cà tím giúp làm sạch, trắng d",Mặt nạ dạng lăn,30000,,98.4
MNHQ01,"Một hộp mặt nạ ngủ hoa quả Bioaqua 120ml hàng nội địa Trung, cam kết h",Mặt nạ ngủ hoa quả bioaqua,34500,,98.5
MNB01,Kem Lột Mụn Cám Mụn Đầu Đen Black Mask Images - Chetanic,kem lột mụn đầu đen,22000,,98.5
CKM01,Bút chì kẻ lông mày phẩy sợi 4D chống nước lâu trôi dụng cụ trang điểm,Bút Chì Kẻ Mày Sợi 4D (TINT MY 4- TIP BROW),10000,,98.6
DGK02,"Dầu gội đầu khô ISSY không cần dùng nước, chống bết tóc, thơm mát, suô",Dầu gội đầu khô ISSY,36000,,98.6
GTD01,"Giấy Thấm Dầu Hút Dầu, Mồ Hôi Da Mặt [ Gói 50 Tờ ] Tiện Lợi Tốt Cho Da",Giấy thấm dầu,3500,,98.7
Urban,"Xịt thơm toàn thân Pink Body Mist 250 ml chính hãng, mùi unisex, nước ",Nước hoa Body Mist Pink,43000,,98.7
SRMC01,"Sữa Rửa Mặt Dạng Gel Cho Da Dầu Mụn, Nhạy Cảm Cosrx Low pH Good Mornin",Sữa rửa mặt Corx,137500,,98.8
MNTXDS01,"Mặt Nạ Bùn Đất Sét Trà Xanh MAIGOOLE, Dưỡng Ẩm Da, Loại Bỏ Mụn Đầu Đen",Mặt nạ đất set trà xanh MAIGOOLE,21000,,98.8
Beach,"Xịt thơm toàn thân Pink Body Mist 250 ml chính hãng, mùi unisex, nước ",Nước hoa Body Mist Pink,43000,,98.9
1272606703-1618,"Nước tẩy trang Maycreate 50ml nhỏ gọn, tiện lợi, giúp làm sạch lớp tra",Tẩy trang maycreate,12000,,98.9
XTP01,Một Chai Xịt Thơm 2in1 Body Và Xịt Thơm Phòng Hương Hoa Qủa Flower Of ,Xịt thơm phòng,26000,,99.0
KQM01,"Quấn Tóc, Khăn Ủ Tóc, Mũ Trùm Đầu JUFY Giúp Tóc Khô Nhanh Khăn, Rút Nư",Mũ quấn tóc,14000,,99.0
MTN01,Mút trang điểm hình giọt nước mềm mịn dùng tán kem nền giá siêu tốt - ,Mút tán kem nền,8000,,99.0
NTDL01,"Nước Hoa cây lăn Siêu Thơm, Hương Thơm Nhẹ Nhàng Quyến Rũ Đầy Nữ Tính ",Nước hoa lăn,14000,,99.1
CTFS,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,99.1
KNCKD01,Kem Nền Che Khuyết Điểm Chống Nắng SPF 45/PA+++ Kiss Beauty Pore BB Ma,Kem nền chống nắng kissbeauty,24800,,99.1
DCLMAL01,"Bộ dao cạo lông mày AILIN, có đầu thay thế Thiết kế nhỏ gọn với đầu gậ",Dao cạo lông mày,3700,,99.1
CTSL,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,99.2
CRMBT01,Cọ Rửa Mặt và Masage Bạch Tuộc - Etude House My Beauty Tool rửa mặt và,Rửa mặt bạch tuộc,8000,,99.2
KTTP2,"Kem Massage trị thâm PIBAMY chính hãng nội địa trung, giúp thải độc, g",Trị thâm,33000,,99.2
XTBDV01,"Nước hoa xịt thơm toàn thân Victoria Secret Amber Romance, xịt thơm bo",Nước hoa xịt thơm toàn thân Victoria ,42000,,99.2
TCKDJ01,"Thanh Che Khuyết Điểm JIAYA Hàng Nội Địa Trung, kem lót che khuyết điể",Che khuyết điểm jiaya,15900,,99.3
CTC01,"Chải tóc con thần thánh, Mascara tạo kiểu tóc đẹp vuốt tóc con gọn vào",Chải tóc con,11000,,99.3
MSM01,"Đồ trang điểm - Mascara Maycreate làm cong và dài mi, thiết kế tinh tế",Mascara maycreate,22400,,99.3
1165336890-1612,"Mặt Nạ Bùn Đất Sét Trà Xanh MAIGOOLE, Dưỡng Ẩm Da, Loại Bỏ Mụn Đầu Đen",Mặt nạ đất set trà xanh MAIGOOLE,21000,,99.3
SG01,"Son Thỏi 3 Màu Có Gương Nữ Hoàng Ai Cập AG&AG, sang, xịn, mịn, cá tính",Son 3 màu có gương AG&AG mẫu mới,40000,,99.4
KMLH01,"Gel Nhấn Mí Mắt, kích mí Liphop Makeup, Tặng Bút Tạo Mí Mắt Trong Suốt",Kich mí liphop,16000,,99.4
TTBC01,Tẩy tế bào chết SPA hiệu quả sau 5 ngày dùng tẩy tế bào chết loại bỏ d,Tẩy da chết,27000,,99.4
PNS01,Phấn nước BB che khuyết điểm Sunisa-kem nền trang điểm hàng nội địa tr,Phấn nền Sunisa nội địa trung,41000,,99.4
Neon,"Xịt thơm toàn thân Pink Body Mist 250 ml chính hãng, mùi unisex, nước ",Nước hoa Body Mist Pink,43000,,99.4
SDMM01,"Son Dưỡng Môi Moisturing Lip Balm Của Maycreate dưỡng môi hết thâm, mề",Son dưỡng môi maycreate,21200,,99.5
SKM01,"Son Kem Tint Maffick Macarone Lip Glaze dưỡng môi, không trôi, son môi",Son maffick,23700,,99.5
BCKMM01,"Bút Chì Kẻ Mày Maycreate Hàng Nội Địa Trung không thấm nước, không bị ",Chì mày maycreate,15800,,99.5
PMHBS,Phấn Má Bắt Sáng Hai Màu Tự Nhiên Lâu Trôi Magic Casa mịn nhẹ tự nhiên,Phấn bắt sáng magic casa,23700,,99.5
TXSL2,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,99.5
XKM01,"Xịt khoá make up, xịt khoá nền, giữ lớp nền lâu trôi suốt nhiều giờ li","Xịt khoá make up, xịt khoá nền",25000,,99.5
TLV01,"Kem Tẩy Lông an toàn lâu dài VEET Silk & Fresh Sensitive 100g , kem tr",Tẩy lông Veet,25000,,99.6
SDHR01,Son dưỡng môi thạch có màu Herorange dưỡng ẩm chăm sóc môi không nứt n,Son dưỡng môi thạch có màu Herorange,25000,,99.6
1160502491-1612,Nước hoa nữ Karri hình đôi chân hàng nội địa Trung - Lumytive,Nước hoa chân karri collection,25000,,99.6
1167330881-1612,"Kem Dưỡng Da Dưỡng Ẩm Vitamin E Thái Lan 200g, Mùi Hương Dịu Nhẹ, Cung",Vitamin E,17000,,99.6
DT01,Tinh Dầu Tràm HUẾ Cho Mẹ và Bé Sơ Sinh 100% NGUYÊN CHẤT (30ml) Chống H,Dầu tràm ,14000,,99.6
MNNL01,"Mặt Nạ Ngủ Dưỡng Ẩm Môi Laneige Dưỡng Ẩm Môi Và Phục Hồi Môi Thâm, Giú",Mặt nạ ngủ môi laneige,39600,,99.6
CTSL2,"Mặt nạ đất sét dạng sáp lăn Trà xanh và Cà tím giúp làm sạch, trắng da",Mặt nạ dạng lăn,30000,,99.6
UTCF01,Ủ trắng Café Face & Body Thiên Nhiên 100gr Dùng cho cả body và face ,Ủ tắm trắng ,14000,,99.7
MNTX01,"Túi 12 gói mặt nạ ngủ Matcha Mud Mask Laikou dưỡng da,loại mụn, cấp ẩm",Túi 12 gói mặt nạ ngủ Matcha Mud Mask Laikou ,20000,,99.7
MNMB02,Hộp 60 miếng mặt nạ dưỡng mắt Bioaqua chiết xuất tảo biển giúp giảm qu,Mặt nạ mắt bioaqua,23000,,99.7
STTV01,"Son Kem Tint Kiss Beauty Trái Tim For Valentine dưỡng môi, không trôi,",Son trái tim Valetine,15200,,99.7
STCN01,"Sữa tắm cá ngựa chuẩn hàng Đức, làm đẹp, chăm sóc cá nhân, hương thơm ",Sữa tắm cá ngựa,14000,,99.7
BPM35,"Bảng phấn mắt 35 ô nhiều màu nội địa Trung Dikalu Coco Venus siêu đẹp,",Bảng phấn mắt 35 ô ,40000,,99.8
1165544362-1612,Nước hoa khô dạng sáp hương trái cây ngọt ngào tươi mát sáp thơm sáp k,Nước hoa khô,9000,,99.8
MDKM01,"Miếng dán mí mắt 2 loại, giúp kích mí to, căng đầy rõ ràng, biến 1 mi ",Kích mí tờ,4000,,99.8
GKSM01,"Gel khoá màu son môi siêu lì giúp son không bay màu, không lem, bền mà",Khóa son môi Lip make up,17000,,99.8
PM9,"Bảng Phấn Mắt Dikalu Coco Venus 9 Màu, Bộ Phấn Mắt Nhũ Lấp Lánh, Hiệu ",Phấn mắt 9 ô,25000,,99.8
MQT01,"Quấn Tóc, Khăn Ủ Tóc, Mũ Trùm Đầu JUFY Giúp Tóc Khô Nhanh Khăn, Rút Nư",Mũ quấn tóc,14000,,99.8
CT02,"Mặt nạ đất sét dạng thỏi lăn Trà xanh và Cà tím giúp làm sạch, trắng d",Mặt nạ dạng lăn,30000,,99.9
STAG01,"Son Thỏi 3 Màu Có Gương Nữ Hoàng Ai Cập AG&AG, sang, xịn, mịn, cá tính",Son 3 màu có gương AG&AG mẫu mới,40000,,99.9
1163026599-1612,Một Chai Nước Hoa MC MAQUICITE Minority Original Perfume 30ML - Lumyti,Nước hoa MC MAQUICITE nội địa trung,25000,,99.9
KCNM01,Xịt Chống Nắng Trắng Da Maycreate 150ml Spf35 - Lumytive,Xịt chống nắng ,23500,,99.9
BCF01,Bộ Cọ 13 Cây Cọ Trang Điểm F.I.X Cực HOT – Bộ cọ trang điểm Fix 13 cây,Bộ cọ fix 13 cây,52000,,99.9
BRMCV,"Bông Rửa Mặt Bọt Biển, Bông Nở Rửa Mặt Nhật Bản Dạng Nén Chivey Mềm và",Bông nở tẩy trang ,8500,,99.9
KNBC01,"Kem Ngựa bôi tay chân nứt nẻ, mềm mại cho da, hàng chính hãng giá rẻ -",Kem Ngựa bôi tay chân nứt nẻ,21000,,100.0
1274509999-1628,"Set 5 cây son kem lì Vongee hình gấu bảng dẹt nội địa trung siêu hot, ",Set son 5 Vongee,30000,,100.0
CKM4,Bút chì kẻ lông mày phẩy sợi 4D chống nước lâu trôi dụng cụ trang điểm,Bút Chì Kẻ Mày Sợi 4D (TINT MY 4- TIP BROW),10000,,100.0
KT01,"Kem dưỡng da tay Maycreate Perfumed Hand Essence, chất lượng đảm bảo a",Kem tay,3400,,100.0
1216262166-1614,Một Chai Xịt Thơm 2in1 Body Và Xịt Thơm Phòng Hương Hoa Qủa Flower Of ,Xịt thơm phòng,26000,,100.0
SRMCL01,"SỮA RỬA MẶT COLLAGEN SKIN CARE - Làm sạch da, tăng độ ẩm và se khít lỗ",Sửa rửa mặt collagen,21000,,100.0
KTM02,"Kem dưỡng da tay Maycreate Perfumed Hand Essence, chất lượng đảm bảo a",Kem tay,3400,,100.0
DCLM01,"Bộ dao cạo lông mày AILIN, có đầu thay thế Thiết kế nhỏ gọn với đầu gậ",Dao cạo lông mày,3700,,100.0
CMSML,"Mascara Siêu Mảnh Tơi Mi Lameila Skinny Microcara Vỏ Hồng siêu hot, ho",Chuốt mi lameila,9000,,100.0
